DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2002,67.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2003,66.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2004,65.9,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2005,69.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2006,68.2,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2007,65.8,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2008,69.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2009,80.8,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2010,83.7,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2011,83.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2012,82.9,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2013,82.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2014,85.2,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2015,85.6,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2016,83.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2017,79.1,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2018,74.6,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2019,71.0,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2002,105.6,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2003,101.8,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2004,97.2,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2005,95.2,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2006,91.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2007,87.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2008,93.2,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2009,99.9,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2010,100.3,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2011,102.8,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2012,104.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2013,105.1,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2014,106.6,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2015,105.7,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2016,105.8,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2017,102.6,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2018,100.2,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2019,97.7,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2002,59.8,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2003,63.3,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2004,65.0,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2005,67.1,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2006,66.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2007,63.7,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2008,65.2,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2009,72.4,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2010,81.0,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2011,78.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2012,79.8,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2013,77.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2014,74.5,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2015,71.2,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2016,68.3,,
ESTAT:GOV_10DD_EDPT1(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Germany,2017,64.0,,
