DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2002,225087.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2003,230541.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2004,240541.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2005,252354.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2006,265933.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2007,282208.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2008,291846.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2009,286274.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2010,294050.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2011,308167.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2012,316589.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2013,321191.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2014,330113.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2015,342083.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2016,355665.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2017,367294.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2018,383234.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2019,395706.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2002,273255.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2003,281200.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2004,296819.7,,
