period,Annually – (Percentage of potential gross domestic product at constant prices) – Austria (AMECO/AVGDGP/AUT.1.0.0.0.AVGDGP),Annually – (Percentage of potential gross domestic product at constant prices) – Belgium (AMECO/AVGDGP/BEL.1.0.0.0.AVGDGP),Annually – (Percentage of potential gross domestic product at constant prices) – Germany (AMECO/AVGDGP/DEU.1.0.0.0.AVGDGP),Annually – (Percentage of potential gross domestic product at constant prices) – Spain (AMECO/AVGDGP/ESP.1.0.0.0.AVGDGP),Annually – (Percentage of potential gross domestic product at constant prices) – Finland (AMECO/AVGDGP/FIN.1.0.0.0.AVGDGP),Annually – (Percentage of potential gross domestic product at constant prices) – France (AMECO/AVGDGP/FRA.1.0.0.0.AVGDGP),Annually – (Percentage of potential gross domestic product at constant prices) – Greece (AMECO/AVGDGP/GRC.1.0.0.0.AVGDGP),Annually – (Percentage of potential gross domestic product at constant prices) – Ireland (AMECO/AVGDGP/IRL.1.0.0.0.AVGDGP),Annually – (Percentage of potential gross domestic product at constant prices) – Italy (AMECO/AVGDGP/ITA.1.0.0.0.AVGDGP),Annually – (Percentage of potential gross domestic product at constant prices) – Netherlands (AMECO/AVGDGP/NLD.1.0.0.0.AVGDGP),Annually – (Percentage of potential gross domestic product at constant prices) – Portugal (AMECO/AVGDGP/PRT.1.0.0.0.AVGDGP)
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,-1.57133,-0.26777,NA,-1.24864,-0.289,-0.35339,-4.10517,0.14871,-4.78993,1.33764,-3.52134
1966,-0.45917,-2.09946,NA,-0.19495,-2.88748,-0.35406,-4.59722,-3.4422,-3.84088,-1.45586,-3.53449
1967,-1.71737,-3.13178,NA,-1.80078,-5.44518,-0.63617,-5.55277,-2.45551,-1.94407,-1.74776,-3.98796
1968,-1.45293,-3.54216,NA,-1.40973,-7.58351,-1.11356,-5.41614,0.76916,-0.15295,-0.66439,-3.61461
1969,0.51634,-1.67644,NA,1.26346,-3.38108,0.76925,-1.33516,1.5694,0.97928,0.71405,-5.56815
1970,3.00128,-0.06283,NA,-0.09196,-0.82961,1.81278,1.00233,-0.46187,2.04379,1.76559,-2.11541
1971,3.04241,-0.5356,NA,-0.77594,-3.13043,2.12429,2.89984,-1.77775,-0.85659,1.39735,2.88906
1972,3.67965,0.57659,NA,1.70557,-0.65493,1.9557,6.20769,-0.34215,-1.51343,0.91546,8.01665
