DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2002,1.7,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2003,1.0,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2004,1.8,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2005,2.5,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2006,2.5,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2007,2.5,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2008,0.0,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2009,-0.4,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2010,1.5,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2011,1.0,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2012,1.1,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2013,0.2,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2014,0.3,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2015,2.1,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2016,0.0,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2017,1.3,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2018,0.4,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Austria,2019,0.1,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2002,0.7,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2003,0.8,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2004,3.2,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2005,1.5,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2006,0.5,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2007,1.8,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2008,-0.6,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2009,-0.6,b,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2010,1.1,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2011,-0.4,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2012,0.1,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2013,0.6,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2014,1.6,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2015,1.0,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2016,-0.1,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2017,-0.2,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2018,0.2,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Belgium,2019,0.9,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2002,0.9,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2003,0.9,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2004,0.9,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2005,1.8,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2006,1.7,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2007,1.1,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2008,0.0,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2009,-3.0,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2010,2.3,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2011,2.5,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2012,0.8,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2013,0.4,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2014,1.0,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2015,0.7,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2016,1.4,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2017,2.0,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2018,0.4,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Germany,2019,0.7,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2002,2.7,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2003,4.7,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2004,3.5,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2005,-2.2,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2006,5.2,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2007,2.7,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2008,-0.6,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2009,-2.3,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2010,-0.2,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2011,-6.8,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2012,-6.4,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2013,-2.0,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2014,-0.3,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2015,3.6,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2016,-3.7,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2017,1.8,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2018,-3.1,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Greece,2019,2.4,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Spain,2002,0.2,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Spain,2003,0.3,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Spain,2004,0.3,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Spain,2005,0.3,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Spain,2006,0.6,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Spain,2007,1.0,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Spain,2008,0.1,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Spain,2009,2.3,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Spain,2010,2.4,,
ESTAT:NAMA_10_LP_ULC(1.0),19/06/26 23:00:00,Annual,Percentage change on previous period,Real labour productivity per hour worked,Spain,2011,1.5,,
