DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2002,7.2,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2003,7.5,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2004,12.1,b,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2005,11.0,b,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2006,9.8,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2007,9.4,b,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2008,8.5,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2009,10.7,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2010,9.5,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2011,8.9,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2012,9.4,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2013,9.7,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2014,10.3,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2015,10.6,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2016,11.2,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2017,9.8,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2018,9.4,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Austria,2019,8.5,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Belgium,2002,15.7,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Belgium,2003,19.0,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Belgium,2004,17.5,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Belgium,2005,21.5,b,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Belgium,2006,20.5,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Belgium,2007,18.8,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Belgium,2008,18.0,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Belgium,2009,21.9,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Belgium,2010,22.4,,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Belgium,2011,18.7,b,
ESTAT:LFSA_URGAN(1.0),11/06/26 23:00:00,Annual,Percentage,Total,From 15 to 24 years,Total,Belgium,2012,19.8,,
