DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2003,4.07,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2004,3.77,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2005,3.81,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2006,3.66,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2007,3.77,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2008,4.19,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2009,4.15,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2010,4.34,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2011,4.12,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2012,4.20,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2013,4.11,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2014,4.13,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2015,4.05,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2016,4.09,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2017,4.29,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2018,4.04,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2019,4.17,,
