DATAFLOW,LAST UPDATE,FREQ,REF_AREA,TRANSFORMATION,AGG_METHOD,UNIT,REFERENCE,ITEM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,COMMENT,UNIT_MULT
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2000,1.81829,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2001,0.70735,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2002,-0.05304,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2003,-1.11808,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2004,-0.85522,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2005,-0.82298,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2006,0.32642,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2007,2.18547,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2008,2.07511,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2009,-2.52262,A,F,(Percentage of potential gross domestic product at constant prices),0
