DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2000,8.0,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2001,8.1,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2002,7.4,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2003,7.2,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2004,9.5,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2005,9.0,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2006,8.9,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2007,8.8,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2008,8.9,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2009,9.1,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2010,9.4,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2011,9.6,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2012,9.3,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2013,9.2,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2014,9.2,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2015,9.1,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2016,9.0,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2017,9.2,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2018,9.1,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Austria,2019,8.7,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2000,9.0,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2001,8.8,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2002,7.6,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2003,8.5,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2004,8.7,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2005,8.8,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2006,8.7,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2007,8.6,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2008,8.3,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2009,8.2,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2010,8.1,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2011,8.9,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2012,8.1,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2013,8.1,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2014,8.6,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2015,9.0,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2016,9.1,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2017,10.4,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2018,10.7,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Belgium,2019,10.8,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2000,12.8,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2001,12.4,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2002,12.0,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2003,12.2,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2004,12.5,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2005,14.3,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2006,14.6,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2007,14.7,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2008,14.8,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2009,14.6,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2010,14.6,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2011,14.6,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2012,13.8,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2013,13.4,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2014,13.1,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2015,13.2,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2016,13.2,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2017,12.9,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2018,12.6,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Germany,2019,12.0,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2000,13.8,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2001,13.5,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2002,11.7,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2003,11.3,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2004,12.5,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2005,12.0,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2006,10.8,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2007,11.0,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2008,11.6,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2009,12.3,b,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2010,12.6,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2011,11.8,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2012,10.2,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2013,10.2,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2014,11.6,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2015,11.9,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2016,11.2,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2017,11.4,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2018,11.3,,
ESTAT:LFSA_ETPGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 64 years,Total,Greece,2019,12.6,,
