period,Annually – Percentage of GDP at factor cost – Albania (AMECO/ALCD2/ALB.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Australia (AMECO/ALCD2/AUS.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Austria (AMECO/ALCD2/AUT.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Belgium (AMECO/ALCD2/BEL.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Bulgaria (AMECO/ALCD2/BGR.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Canada (AMECO/ALCD2/CAN.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Switzerland (AMECO/ALCD2/CHE.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Cyprus (AMECO/ALCD2/CYP.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Czech Republic (AMECO/ALCD2/CZE.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – EA12 (including D_W West-Germany) (AMECO/ALCD2/DA12.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Germany (AMECO/ALCD2/DEU.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Denmark (AMECO/ALCD2/DNK.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – EU15 (including D_W West-Germany) (AMECO/ALCD2/DU15.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – West Germany (AMECO/ALCD2/D_W.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Euro area (12 countries) (AMECO/ALCD2/EA12.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Euro area (19 countries) (AMECO/ALCD2/EA19.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Euro area (20 countries) (AMECO/ALCD2/EA20.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Euro area (21 countries) (AMECO/ALCD2/EA21.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Spain (AMECO/ALCD2/ESP.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Estonia (AMECO/ALCD2/EST.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – European Union (15 countries) (AMECO/ALCD2/EU15.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – European Union (AMECO/ALCD2/EU27.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Finland (AMECO/ALCD2/FIN.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – France (AMECO/ALCD2/FRA.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – United Kingdom (AMECO/ALCD2/GBR.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Greece (AMECO/ALCD2/GRC.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Croatia (AMECO/ALCD2/HRV.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Hungary (AMECO/ALCD2/HUN.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Ireland (AMECO/ALCD2/IRL.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Iceland (AMECO/ALCD2/ISL.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Italy (AMECO/ALCD2/ITA.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Japan (AMECO/ALCD2/JPN.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Korea (AMECO/ALCD2/KOR.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Lithuania (AMECO/ALCD2/LTU.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Luxembourg (AMECO/ALCD2/LUX.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Latvia (AMECO/ALCD2/LVA.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Mexico (AMECO/ALCD2/MEX.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – North Macedonia (AMECO/ALCD2/MKD.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Malta (AMECO/ALCD2/MLT.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Montenegro (AMECO/ALCD2/MNE.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Netherlands (AMECO/ALCD2/NLD.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Norway (AMECO/ALCD2/NOR.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – New Zealand (AMECO/ALCD2/NZL.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Poland (AMECO/ALCD2/POL.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Portugal (AMECO/ALCD2/PRT.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Romania (AMECO/ALCD2/ROM.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Serbia (AMECO/ALCD2/SRB.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Slovakia (AMECO/ALCD2/SVK.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Slovenia (AMECO/ALCD2/SVN.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Sweden (AMECO/ALCD2/SWE.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – Türkiye (AMECO/ALCD2/TUR.1.0.0.0.ALCD2),Annually – Percentage of GDP at factor cost – United States (AMECO/ALCD2/USA.1.0.0.0.ALCD2)
1960,NA,62.39147,73.14283,62.12052,NA,69.51351,NA,NA,NA,70.08178,NA,64.34089,67.82015,66.91099,NA,NA,NA,NA,67.21603,NA,NA,NA,74.42906,72.34044,63.03247,82.75402,NA,NA,76.46277,NA,77.39778,NA,NA,NA,51.52851,NA,NA,NA,NA,NA,62.42502,63.09489,NA,NA,67.24782,NA,NA,NA,NA,64.9439,NA,68.32826
1961,NA,63.29637,72.97332,61.35419,NA,70.32667,NA,NA,NA,70.47951,NA,65.17143,68.4938,68.35174,NA,NA,NA,NA,66.62471,NA,NA,NA,72.16836,73.78746,64.21992,75.99724,NA,NA,76.05981,NA,74.56905,NA,NA,NA,53.6597,NA,NA,NA,NA,NA,64.69171,62.75965,NA,NA,70.52518,NA,NA,NA,NA,65.24219,NA,67.77725
1962,NA,62.06825,74.1645,62.40937,NA,69.61405,NA,NA,NA,70.61502,NA,65.7555,68.8358,68.74628,NA,NA,NA,NA,66.77296,NA,NA,NA,73.48634,73.77381,64.53329,76.81317,NA,NA,76.47682,NA,73.63865,NA,NA,NA,53.23151,NA,NA,NA,NA,NA,65.53182,65.21371,NA,NA,66.32485,NA,NA,NA,NA,67.1953,NA,67.16752
1963,NA,61.05876,73.69233,62.82495,NA,68.68113,NA,NA,NA,71.42328,NA,66.09908,69.61706,68.82621,NA,NA,NA,NA,68.88644,NA,NA,NA,74.33145,74.76475,64.93512,72.22086,NA,NA,75.71881,NA,74.89554,NA,NA,NA,53.54322,NA,NA,NA,NA,NA,66.99601,65.12939,NA,NA,70.32633,NA,NA,NA,NA,68.01083,NA,66.84046
1964,NA,63.16801,73.93031,62.05555,NA,68.4636,NA,NA,NA,71.13472,NA,65.41311,69.3556,67.682,NA,NA,NA,NA,69.83698,NA,NA,NA,75.3313,74.63927,64.80428,71.30402,NA,NA,76.46125,NA,75.08054,NA,NA,NA,53.68665,NA,NA,NA,NA,NA,67.48298,64.55181,NA,NA,71.26318,NA,NA,NA,NA,66.95925,NA,66.47465
1965,NA,64.93887,73.77686,62.11624,NA,68.49906,NA,NA,NA,70.66276,NA,67.89097,69.12624,67.87003,NA,NA,NA,NA,70.11026,NA,NA,NA,76.01852,73.84075,64.93517,68.7232,NA,NA,75.62663,NA,73.4915,NA,NA,NA,54.07088,NA,NA,NA,NA,NA,68.18935,63.86359,NA,NA,68.4085,NA,NA,NA,NA,67.15734,NA,65.59785
1966,NA,63.10416,73.60478,63.46938,NA,68.07824,NA,NA,NA,70.6064,NA,68.97227,69.34099,68.45213,NA,NA,NA,NA,71.94862,NA,NA,NA,76.97793,72.84325,65.68793,68.98845,NA,NA,78.61008,NA,71.20717,NA,NA,NA,54.14601,NA,NA,NA,NA,NA,70.35561,65.39225,NA,NA,71.32323,NA,NA,NA,NA,68.19433,NA,65.45404
1967,NA,63.54779,74.28229,63.80041,NA,70.0188,NA,NA,NA,70.25494,NA,69.81569,69.10608,67.84076,NA,NA,NA,NA,73.3586,NA,NA,NA,76.66322,72.02764,65.5946,69.29745,NA,NA,76.87504,NA,70.40547,NA,NA,NA,54.75458,NA,NA,NA,NA,NA,69.94593,67.06285,NA,NA,73.9521,NA,NA,NA,NA,67.90095,NA,66.28491
1968,NA,62.21689,73.92598,62.99497,NA,69.08729,NA,NA,NA,69.5419,NA,70.03837,68.56526,66.39428,NA,NA,NA,NA,70.91884,NA,NA,NA,73.61339,72.99059,64.56845,69.64083,NA,NA,75.61048,NA,68.96302,NA,NA,NA,52.7437,NA,NA,NA,NA,NA,69.5677,67.24714,NA,NA,74.13201,NA,NA,NA,NA,69.41449,NA,66.69933
1969,NA,61.79691,73.18736,62.40429,NA,70.05743,NA,NA,NA,68.87127,NA,69.39636,67.98137,66.90262,NA,NA,NA,NA,70.21247,NA,NA,NA,69.80932,71.77994,64.08552,66.30098,NA,NA,75.39433,NA,66.99384,NA,NA,NA,48.87882,NA,NA,NA,NA,NA,70.00055,67.02395,NA,NA,77.24867,NA,NA,NA,NA,69.07765,NA,67.88956
1970,NA,64.69794,70.81126,61.99834,NA,68.41598,NA,NA,NA,69.38627,NA,70.53172,68.34693,68.35554,NA,NA,NA,NA,69.96143,NA,NA,NA,69.57895,71.50524,64.06968,63.42165,NA,NA,77.50745,70.25346,68.28965,NA,NA,NA,49.32851,NA,NA,NA,NA,NA,71.41306,65.63313,NA,NA,78.88944,NA,NA,NA,NA,67.67395,NA,68.74572
1971,NA,65.536,72.39892,64.28991,NA,68.5721,NA,NA,NA,70.34028,NA,71.46269,69.05771,69.18463,NA,NA,NA,NA,70.44379,NA,NA,NA,72.55198,71.56391,63.22139,61.40093,NA,NA,77.61187,71.27257,70.74871,NA,NA,NA,54.48274,NA,NA,NA,NA,NA,72.59557,68.16625,NA,NA,77.02652,NA,NA,NA,NA,69.62781,NA,67.70447
1972,NA,65.45692,71.37296,65.35566,NA,68.55293,NA,NA,NA,70.30815,NA,69.16222,68.88643,69.73259,NA,NA,NA,NA,70.99885,NA,NA,NA,71.99683,71.10371,62.5817,59.74404,NA,NA,74.29018,68.69423,70.0776,NA,NA,NA,54.83181,NA,NA,NA,NA,NA,72.74413,68.22455,NA,NA,76.2842,NA,NA,NA,NA,68.71893,NA,67.48577
